duration,radiant_series_wins,dire_series_wins,score,0_rts,1_rts,2_rts,3_rts,4_rts,5_rts,6_rts,7_rts,8_rts,9_rts,10_rts,0_dts,1_dts,2_dts,3_dts,4_dts,5_dts,6_dts,7_dts,8_dts,9_dts,10_dts,0_rbs,1_rbs,2_rbs,3_rbs,4_rbs,5_rbs,0_dbs,1_dbs,2_dbs,3_dbs,4_dbs,5_dbs,net_worth,assissts,last_hits,gold,level,gpm,xpm,winner
810.300048828125,0,0,-6,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4809,-4,-24,-2269,-6,-333,-343,dire
870.5,0,0,-5,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-4487,-3,-34,318,-3,-311,-208,dire
925.7667236328125,0,0,-5,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-5615,-3,-47,-610,-4,-378,-256,dire
986.0,0,0,-6,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-7474,-6,-56,416,-5,-473,-316,dire
1046.2333984375,0,0,-6,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-7921,-6,-65,-381,-5,-479,-332,dire
616.4666137695312,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,935,7,-4,-210,1,97,39,dire
635.8667602539062,1,1,-2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1115,-9,24,1200,1,-115,21,radiant
1106.36669921875,0,0,-7,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-9739,-10,-68,-1034,-7,-535,-352,dire
676.6000366210938,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2388,7,3,508,2,197,73,dire
691.0000610351562,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1122,-7,23,1883,2,-98,27,radiant
1166.6334228515625,0,0,-10,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-12278,-17,-86,-658,-10,-633,-525,dire
659.800048828125,1,1,-8,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3320,-11,-17,175,-5,-379,-362,radiant
736.8333129882812,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3303,8,2,-1687,1,254,118,dire
606.300048828125,0,1,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3678,-1,9,-2083,-1,-287,-74,dire
751.2333374023438,1,1,-2,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-630,-8,37,475,0,-30,24,radiant
720.0,1,1,-8,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3863,-11,-28,-793,-4,-398,-325,radiant
792.0333862304688,0,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4670,13,11,2680,4,337,254,dire
666.5,0,1,-4,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4549,-1,10,-879,-2,-341,-109,dire
811.4000854492188,1,1,-4,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-2413,-13,41,-3383,-1,-136,-22,radiant
737.800048828125,1,1,-9,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4848,-13,-34,-2938,-5,-453,-413,radiant
852.2666625976562,0,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4504,12,22,1509,4,326,254,dire
721.666748046875,0,1,-5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4996,-3,18,-1406,-2,-352,-80,dire
871.6000366210938,1,1,-4,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-2307,-13,38,-937,-1,-113,-25,radiant
912.5000610351562,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2128,9,24,-2972,2,156,160,dire
